scrape time,time,latitude,longitude,name,source,state,address
"2022 Apr 04, 19:06:16",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 04, 20:37:20",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 04, 20:42:35",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 04, 20:57:16",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 04, 21:52:27",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 04, 22:06:13",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 04, 23:37:20",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 04, 23:57:17",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 05, 01:06:21",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 05, 22:40:02",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 05, 22:42:50",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 05, 23:37:21",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 06, 18:00:46",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 06, 18:03:38",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 06, 19:06:13",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 06, 19:42:52",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 06, 20:37:22",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 06, 21:03:38",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 06, 22:42:51",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 07, 07:38:53",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 07, 07:42:52",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
"2022 Apr 07, 08:50:24",2021-10-07T13:57:00+0000,51.05128,3.68637,Schaap (nieuwe tracker),gps,ON_THE_MOVE,"Jenny Montignypad, 9000, Ghent, Belgium"
